"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","43/1860","142/9399",0.302816901408451,1.5302021808269,3.16204372329618,0.00176048408022987,0.0162149849494856,0.0120454173910465,"207/814/1147/1435/1540/2209/2212/2214/2355/9846/3455/3458/3459/3553/3708/3709/3725/3726/3727/3937/353514/5609/6885/6300/1432/5595/5599/4773/4790/4791/5296/5533/5970/10326/55423/6772/6850/10454/7040/7048/169200/7186/7297",43
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","49/1860","169/9399",0.289940828402367,1.4651364764268,3.03068096449256,0.00243210348172224,0.0218265697077637,0.0162140232114816,"207/84335/55054/23130/55102/9474/10533/572/596/57448/203228/1514/1613/54541/9451/57724/11337/3091/3265/3708/84557/5605/6885/5595/5599/9110/2475/29982/5296/30849/5567/5588/116442/9821/6237/6794/55014/8417/55578/170067/10010/8887/58476/7249/8408/7405/8673/81671/55255",49
"hsa04071","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","38/1860","125/9399",0.304,1.53618064516129,2.9974359686835,0.00292966700799733,0.0256345863199766,0.0190428355519826,"140/207/581/596/624/79603/253782/9846/3265/5605/4217/6300/1432/5595/5599/4790/94101/5296/5331/5338/5523/28227/55012/5526/5528/5579/5581/5970/1901/9294/1903/166929/8879/130367/56848/10558/8717/7186",38
"hsa04919","Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","37/1860","122/9399",0.30327868852459,1.53253569539926,2.94064217270014,0.00345088687131269,0.0294587903648644,0.0218836728424707,"207/477/478/572/652/595/1734/2626/8841/3091/3265/2648/5605/5595/9969/9282/10025/2475/8648/10499/8202/4854/4855/5208/5211/5214/5296/5331/5333/113026/5567/5579/6257/6548/6772/7067/7249",37
"hsa00511","Metabolism","Glycan biosynthesis and metabolism","hsa00511","Other glycan degradation","9/1860","18/9399",0.5,2.52661290322581,3.22001529187486,0.00390993643262462,0.0318093809001888,0.0236298258115689,"175/64772/2517/2519/3074/284004/4125/4123/4126",9
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","61/1860","224/9399",0.272321428571429,1.37610167050691,2.82972059666033,0.00396412999678341,0.0318093809001888,0.0236298258115689,"115/207/64682/10393/29882/51434/1388/472/545/567/581/595/894/915/996/1019/1147/23373/200186/1871/1958/2874/3112/3113/3122/3123/3126/3134/3265/3600/3559/3560/3561/3683/3725/2648/4055/8379/5605/6416/4214/5595/5599/4316/4487/4773/4776/4790/4791/5296/5533/5567/5925/5970/293/6722/387332/6929/7040/7043/7048",61
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","43/1860","148/9399",0.290540540540541,1.46816695727986,2.85137669982018,0.0041547276529524,0.0318093809001888,0.0236298258115689,"207/10297/8312/581/675/595/1019/1452/28514/1855/1856/1857/1871/2064/8074/2252/7855/8323/8324/8325/10912/3280/23462/26508/3265/3714/3725/51176/4041/5605/5595/2475/8648/8202/4791/4854/4855/5296/51426/5925/6655/83439/51384",43
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","32/1860","103/9399",0.310679611650485,1.5699342311306,2.88876768859109,0.00418493789476377,0.0318093809001888,0.0236298258115689,"207/624/841/6347/915/1147/3576/356/2767/9630/3458/3459/3553/3654/51135/3725/6416/6300/1432/5595/5599/4790/5296/5331/5970/5054/7040/7043/7048/7097/7099/10333",32
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","31/1860","99/9399",0.313131313131313,1.58232323232323,2.89306080039629,0.00419023814835398,0.0318093809001888,0.0236298258115689,"115/207/572/581/596/595/1019/1565/28514/1871/2064/2852/1839/3265/3714/3725/5605/6300/1432/5595/5599/4313/4318/2475/8202/4854/4855/5296/5567/5925/6655",31
"hsa05010","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","98/1860","388/9399",0.252577319587629,1.27633022946458,2.76105518165327,0.00427154543516822,0.0318093809001888,0.0236298258115689,"6868/11047/207/322/10297/83464/348/22926/23130/55102/513/8312/572/776/808/823/836/841/1147/1340/1346/1435/1452/1460/1536/1649/1855/1856/1857/9451/7855/8323/8324/8325/2906/3265/3416/3553/3708/3709/64837/89953/4041/5605/5609/4217/5595/5599/4311/4508/4509/4512/4513/4514/4519/4535/4536/4537/4538/4539/4540/4541/2475/126328/4696/4716/4713/4720/374291/4723/4729/4790/29982/5296/30849/5331/5533/5684/5691/5702/5705/5710/9861/5743/9821/5970/293/27173/91252/23516/7922/64116/55334/7186/8408/10975/51384/7494",98
